"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
3557,y,1," ",1,163902.109375,147.1132813,147.11280115091,3.2638158423174,16.646669528252%,3.570173024426%,2.0000000000575E-6
3557,b,1," ",1,5676.9638671875,157.1086121,157.10838646688,1.4361621683641,0.57657916533998%,0.12365761085418%,1.9999999999465E-6
3557,a,5," ",1,5342.6264648438,670.3270874,670.33072584731,-5.4278390780302,0.54262228541346%,0.11637495671718%,1.0000000000066E-5
3719,y,1," ",1,171454.734375,147.1133881,147.11280115091,3.9897893752934,9.5704308019257%,2.30891503216%,4.9999999999217E-6
3719,b,2," ",1,3211.9943847656,173.0926208,173.09207046688,3.1794242192236,0.17929029552686%,0.043254694279706%,6.0000000000615E-6
3719,a,3," ",1,5486.9838867188,202.1190338,202.11861984731,2.0480680666814,0.30627792105332%,0.073891103814932%,8.9999999999257E-6
3719,b,3," ",1,7131.1684570313,230.1138916,230.11353446688,1.5519865957164,0.39805464983908%,0.096032705701159%,1.0999999999983E-5
3719,y,2," ",1,1791504.875,244.1663666,244.16556515091,3.2824001637294,100%,24.125507826622%,1.0999999999983E-5
3719,b,4," ",1,9657.1875,301.151825,301.15064846688,3.9067925869885,0.53905449182772%,0.13004963361565%,1.3999999999958E-5
3719,y,3," ",1,7959.84765625,345.2145386,345.21324515091,3.7468118886915,0.44431068914898%,0.10719221008515%,1.5000000000098E-5
3719,y,7," ",1,7483.4990234375,645.3584595,645.35661715091,2.8547767884379,0.41772138763717%,0.10077740606788%,2.0999999999938E-5
3764,y,1," ",1,51119.97265625,147.1132813,147.11280115091,3.2638158423174,35.446718624185%,2.9692239329435%,2.0000000000575E-6
3764,a,2," ",1,127809.28125,157.1339722,157.13353584731,2.7769545733444,88.623279603304%,7.4236028898463%,2.9999999999752E-6
3764,b,2," ",1,41830.8203125,185.128952,185.12845046688,2.709108836223,29.005596841898%,2.429677997712%,2.9999999999752E-6
3764,b,3," ",1,3607.2573242188,256.1654358,256.16556446688,-0.50228015330952,2.5012813726727%,0.20952191917979%,5.0000000000328E-6
3764,y,2," ",1,18985.072265625,284.1719971,284.17171115091,1.006254598295,13.164297234364%,1.1027183312247%,5.0000000000328E-6
3764,y,3," ",1,9035.9345703125,413.2148743,413.21430115091,1.3870504710439,6.2655399363023%,0.52483817554239%,8.000000000008E-6
3764,y,5," ",1,26293.33203125,585.2644653,585.26270515091,3.0074513128283,18.231863081602%,1.5272072085991%,9.9999999999545E-6
3764,y,6," ",1,130169.0390625,656.302002,656.29981915091,3.3259937414548,90.259541652257%,7.5606657443189%,9.9999999999545E-6
4106,y,1," ",1,153431.625,175.1194916,175.11895115091,3.0861827772114,12.35849111695%,4.0057939132242%,2.9999999999752E-6
4106,M,+2H," ",2,10098.106445312,416.7225952,416.72091180889,4.0396127440171,0.81337441875111%,0.26364143203021%,2.2999999999995E-5
4106,y,5," ",1,6298.4951171875,561.3190918,561.31772915091,2.4275896167649,0.50732628267423%,0.16444115352948%,1.0999999999983E-5
4106,c,5," ",1,68901.515625,604.3076782,604.312307568,-7.6605555455317,5.5498256555386%,1.7988812404388%,1.3000000000041E-5
4155,b,1," ",1,484245.875,129.1027222,129.10223646688,3.762391220239,95.407308202956%,5.8166253145693%,1.9999999999465E-6
4155,y,1," ",1,392344.625,147.1133728,147.11280115091,3.8857875489298,77.300698863254%,4.7127333357465%,2.9999999999752E-6
4155,y,2," ",1,52590.6171875,218.1506195,218.14991515091,3.2287387805593,10.361532191867%,0.63170370886822%,8.000000000008E-6
4155,b,2," ",1,8894.57421875,230.1506348,230.14991646688,3.121153081678,1.7524307952491%,0.10683912498604%,9.9999999999545E-6
4155,y,3," ",1,120596.0234375,275.1723633,275.17137915091,3.5764951065001,23.760123875402%,1.4485655303991%,1.2000000000012E-5
4155,b,3," ",1,5407.8388671875,359.1914063,359.19250646688,-3.0628892839364,1.0654656573248%,0.064957440168168%,1.6000000000016E-5
4155,M,+2H," ",2,198721.265625,373.7215881,373.72397280889,-6.380936379378,39.15255041866%,2.3869839762241%,4.4000000000044E-5
4155,y,4," ",1,140685.609375,388.2569275,388.25543915091,3.8334275348726,27.718223295885%,1.6898759888997%,1.7999999999962E-5
4155,a,4," ",1,4594.7612304688,444.2806396,444.28165184731,-2.2783909819312,0.90527111012423%,0.055190980176231%,1.9999999999909E-5
4155,a,5," ",1,3857.5395507813,501.3063049,501.30311584731,6.3615257719618,0.76002188934802%,0.046335680614785%,2.1999999999966E-5
